# 医疗功效 / 疾病治疗用语（化妆品监督管理条例第三十七条 等）。格式： 词 | 别名 | 等级（缺省 high）
治愈 | 痊愈,治好 | ban
疗效 | 特效,奇效,神效 | ban
止痛 | 镇痛,缓解疼痛 | ban
止血 | 快速止血 | ban
退烧 | 退热,降温退烧 | ban
解毒 | 清热解毒 | ban
抗病毒 | 杀病毒,灭活病毒 | ban
护肝 | 养肝护肝,解酒护肝 | ban
明目 | 改善视力,治疗近视 | ban
增高 | 长高,助长高 | ban
缓解焦虑 | 抗抑郁,治疗抑郁 | ban
消肿 | 快速消肿
止痒 | 快速止痒,强效止痒
抑菌 | 抑制细菌
祛湿 | 排湿,祛湿气
驱寒 | 散寒,祛寒
活血 | 化瘀,活血化瘀
通便 | 润肠通便,排宿便
养胃 | 暖胃,护胃
补血 | 补气血,气血双补
安神 | 宁神,镇静安神
降火 | 去火,清热降火
祛痘印 | 去痘印,淡化痘印
去红血丝 | 修复红血丝,消除红血丝
淡化细纹 | 去细纹,抚平细纹
紧致 | 提拉紧致,紧致肌肤
改善暗沉 | 去黄气,提亮暗沉
修复屏障 | 修护屏障,重建屏障
抗糖化 | 抗氧抗糖 | warn
去妊娠纹 | 淡化妊娠纹,消除妊娠纹
瘦腿 | 瘦小腿,纤细美腿
瘦肚子 | 减肚子,去赘肉
调理内分泌 | 平衡内分泌
调理肠胃 | 改善肠胃
促进新陈代谢 | 加速代谢,提高代谢
延缓衰老 | 抗初老,延缓老化
去眼纹 | 淡化眼纹
缩阴 | 私护紧致 | ban
丰臀 | 翘臀,提臀
祛皱 | 去皱,抚平皱纹
淡化红印 | 去红印
修复敏感肌 | 治好敏感肌,告别敏感
